num_samples,L,Lvalid
1500,-61.0923518288,342.573342874
1500,-61.0923518288,342.573342874
3000,439.893012266,480.741989953
3000,439.893012266,480.741989953
4500,465.145355233,403.191022224
4500,465.145355233,403.191022224
6000,494.207310339,455.195256607
6000,494.207310339,455.195256607
7500,502.714493038,487.56423233
7500,502.714493038,487.56423233
9000,500.25376293,479.605637344
9000,500.25376293,479.605637344
10500,512.036390838,535.014827712
10500,512.036390838,535.014827712
12000,498.035813188,535.94095628
12000,498.035813188,535.94095628
13500,522.77161107,530.896797476
13500,522.77161107,530.896797476
15000,524.123750311,516.93388365
15000,524.123750311,516.93388365
16500,551.090609803,545.653614894
16500,551.090609803,545.653614894
18000,567.371868817,501.969860348
18000,567.371868817,501.969860348
19500,570.569032018,535.63519055
19500,570.569032018,535.63519055
21000,566.273937173,555.07625494
21000,566.273937173,555.07625494
22500,568.576970932,536.38302732
22500,568.576970932,536.38302732
24000,580.03390493,574.163503321
24000,580.03390493,574.163503321
25500,579.555892414,565.022335724
25500,579.555892414,565.022335724
27000,580.464143429,524.514010466
27000,580.464143429,524.514010466
28500,582.91548617,566.400680385
28500,582.91548617,566.400680385
30000,593.207801035,547.48577828
30000,593.207801035,547.48577828
31500,589.564581153,574.02448603
31500,589.564581153,574.02448603
33000,588.181888161,570.849419084
33000,588.181888161,570.849419084
34500,591.397978602,567.898072436
34500,591.397978602,567.898072436
36000,594.968326271,563.062601528
36000,594.968326271,563.062601528
37500,595.223357608,555.826739779
37500,595.223357608,555.826739779
39000,596.074140907,556.336606249
39000,596.074140907,556.336606249
40500,595.751764739,552.284024838
40500,595.751764739,552.284024838
42000,599.002003098,564.156430536
42000,599.002003098,564.156430536
43500,598.024509769,540.381357261
43500,598.024509769,540.381357261
45000,598.727184909,575.095751343
45000,598.727184909,575.095751343
46500,600.141260188,560.688326651
46500,600.141260188,560.688326651
48000,606.597712736,546.199205893
48000,606.597712736,546.199205893
49500,601.763052278,561.606423245
49500,601.763052278,561.606423245
51000,604.960345566,575.133622612
51000,604.960345566,575.133622612
52500,604.70196067,571.043188581
52500,604.70196067,571.043188581
54000,602.80284529,567.632292579
54000,602.80284529,567.632292579
55500,606.200353828,569.426403034
55500,606.200353828,569.426403034
57000,602.993977675,568.436820399
57000,602.993977675,568.436820399
58500,608.111772776,576.38818735
58500,608.111772776,576.38818735
60000,605.949244565,578.156019264
60000,605.949244565,578.156019264
61500,606.875718506,578.287982546
61500,606.875718506,578.287982546
63000,608.828641972,566.265034117
63000,608.828641972,566.265034117
64500,607.307447098,561.95273406
64500,607.307447098,561.95273406
66000,607.467640302,582.750357762
66000,607.467640302,582.750357762
67500,610.009427632,583.20823537
67500,610.009427632,583.20823537
69000,610.713938711,576.478962648
69000,610.713938711,576.478962648
70500,606.285769264,576.172607449
70500,606.285769264,576.172607449
72000,607.060771267,572.753057409
72000,607.060771267,572.753057409
73500,608.361995787,571.109453288
73500,608.361995787,571.109453288
75000,613.067776162,593.143807292
75000,613.067776162,593.143807292
76500,612.354150403,574.165497083
76500,612.354150403,574.165497083
78000,612.087997282,574.4661958
78000,612.087997282,574.4661958
79500,610.923378694,584.862588983
79500,610.923378694,584.862588983
81000,612.09783021,589.887221254
81000,612.09783021,589.887221254
82500,613.987963926,568.160001009
82500,613.987963926,568.160001009
84000,613.168688402,581.289703063
84000,613.168688402,581.289703063
85500,614.671179113,593.980292922
85500,614.671179113,593.980292922
87000,614.661868704,580.85152253
87000,614.661868704,580.85152253
88500,614.790918446,576.460214577
88500,614.790918446,576.460214577
90000,617.013126726,578.552213087
90000,617.013126726,578.552213087
91500,617.069689335,577.074454108
91500,617.069689335,577.074454108
93000,617.124656297,571.013012231
93000,617.124656297,571.013012231
94500,617.236738907,567.904061628
94500,617.236738907,567.904061628
96000,617.638473854,578.07068323
96000,617.638473854,578.07068323
97500,613.826083638,581.636278723
97500,613.826083638,581.636278723
99000,619.859434036,581.584441439
99000,619.859434036,581.584441439
100500,620.112034264,578.483823553
100500,620.112034264,578.483823553
102000,619.971843217,579.408156554
102000,619.971843217,579.408156554
103500,624.599605018,601.343926055
103500,624.599605018,601.343926055
105000,622.192945344,588.665545598
105000,622.192945344,588.665545598
106500,624.963499078,585.62708077
106500,624.963499078,585.62708077
108000,625.797148413,594.724586698
108000,625.797148413,594.724586698
109500,628.892913737,585.322456971
109500,628.892913737,585.322456971
111000,629.22638313,595.561960646
111000,629.22638313,595.561960646
112500,622.370593001,591.449728814
112500,622.370593001,591.449728814
114000,631.894569403,591.530340162
114000,631.894569403,591.530340162
115500,634.225761082,588.760645421
115500,634.225761082,588.760645421
117000,631.339716121,581.145168694
117000,631.339716121,581.145168694
118500,637.179879968,594.327663701
118500,637.179879968,594.327663701
120000,635.624704626,602.082450124
120000,635.624704626,602.082450124
121500,640.250295813,596.346520523
121500,640.250295813,596.346520523
123000,640.12334222,600.602738098
123000,640.12334222,600.602738098
124500,642.787472685,595.828009847
124500,642.787472685,595.828009847
126000,643.744197961,598.340886049
126000,643.744197961,598.340886049
127500,645.471413063,591.06228052
127500,645.471413063,591.06228052
129000,645.94216309,604.988443314
129000,645.94216309,604.988443314
130500,642.774506032,603.435056147
130500,642.774506032,603.435056147
132000,646.742262003,599.299204527
132000,646.742262003,599.299204527
133500,649.810699545,599.399686873
133500,649.810699545,599.399686873
135000,650.799684937,566.640576719
135000,650.799684937,566.640576719
136500,648.574205486,605.823259548
136500,648.574205486,605.823259548
138000,649.554756342,604.475112912
138000,649.554756342,604.475112912
139500,654.621412656,593.004908747
139500,654.621412656,593.004908747
