num_samples,L
50000,-224.869327209,-192.52911377
100000,-186.225368683,-178.095169067
150000,-173.475730774,-168.700317383
200000,-166.649631256,-162.949905396
250000,-160.803904846,-156.702896118
300000,-155.179146362,-152.383468628
350000,-151.148010315,-149.317504883
400000,-148.212214905,-147.212844849
450000,-145.771213257,-144.327606201
500000,-143.492296326,-142.174377441
550000,-141.265205826,-139.894012451
600000,-138.902877808,-137.579956055
650000,-136.844453094,-135.614212036
700000,-135.185397293,-133.940765381
750000,-133.651817978,-132.60899353
800000,-132.407651428,-131.490646362
850000,-131.260298508,-130.463027954
900000,-130.235481125,-129.498031616
950000,-129.251968048,-128.472381592
1000000,-128.367614594,-127.832633972
1050000,-127.616443359,-127.044250488
1100000,-126.677676941,-126.239646912
1150000,-125.975878128,-125.515090942
1200000,-125.333438187,-124.844909668
1250000,-124.614850525,-124.137672424
1300000,-123.962102356,-123.715576172
1350000,-123.324152313,-122.926940918
1400000,-122.760034668,-122.435523987
1450000,-122.224218246,-121.924789429
1500000,-121.81134523,-121.454246521
1550000,-121.31121579,-121.12059021
1600000,-120.833708115,-120.573661804
1650000,-120.496683548,-120.144012451
1700000,-120.144553909,-119.865402222
1750000,-119.756697983,-119.508377075
1800000,-119.315142548,-119.183288574
1850000,-118.992829742,-118.848373413
1900000,-118.682923996,-118.601371765
1950000,-118.354649612,-118.193374634
2000000,-118.044701218,-117.904876709
2050000,-117.751251801,-117.622688293
2100000,-117.463967087,-117.358360291
2150000,-117.204094452,-117.183677673
2200000,-116.90288414,-116.761726379
2250000,-116.687349075,-116.67048645
2300000,-116.437460587,-116.319252014
2350000,-116.150765396,-116.200424194
2400000,-115.961705032,-115.924911499
2450000,-115.736291,-115.601348877
2500000,-115.500062088,-115.424621582
2550000,-115.320200974,-115.229652405
2600000,-115.097972839,-115.09072876
2650000,-114.933806808,-114.951927185
2700000,-114.748156708,-114.747299194
2750000,-114.564760178,-114.570228577
2800000,-114.412343918,-114.436248779
2850000,-114.23874559,-114.182525635
2900000,-114.03240477,-114.119728088
2950000,-113.9051353,-113.954200745
3000000,-113.782302017,-113.71812439
3050000,-113.605091461,-113.70664978
3100000,-113.482979614,-113.550163269
3150000,-113.348256241,-113.422798157
3200000,-113.191018768,-113.326301575
3250000,-113.052428284,-113.12412262
3300000,-112.948603104,-113.058334351
3350000,-112.818970627,-112.854927063
3400000,-112.750690918,-112.747238159
3450000,-112.573725906,-112.771141052
3500000,-112.49968959,-112.491127014
3550000,-112.411473022,-112.463264465
3600000,-112.239465393,-112.276863098
3650000,-112.142952637,-112.225448608
3700000,-112.065284775,-112.204963684
3750000,-111.997147247,-112.078964233
3800000,-111.883953918,-111.977500916
3850000,-111.763783707,-111.949409485
3900000,-111.70155397,-111.752677917
3950000,-111.572522644,-111.618103027
4000000,-111.493090027,-111.604225159
4050000,-111.387745773,-111.486503601
4100000,-111.31138945,-111.45980072
4150000,-111.224906219,-111.336700439
4200000,-111.122653458,-111.295501709
4250000,-111.06525267,-111.192047119
4300000,-110.958208969,-111.167900085
4350000,-110.857207123,-110.947265625
4400000,-110.798511505,-110.929046631
4450000,-110.691147949,-110.926940918
4500000,-110.647429871,-110.883850098
4550000,-110.572834686,-110.691299438
4600000,-110.483150696,-110.573577881
4650000,-110.398369049,-110.567565918
4700000,-110.360495987,-110.572975159
4750000,-110.294902817,-110.444000244
4800000,-110.217040939,-110.379524231
4850000,-110.117948868,-110.299026489
4900000,-110.125558838,-110.217224121
4950000,-110.025874954,-110.121360779
5000000,-109.981649231,-110.106811523
5050000,-109.864300537,-110.090873718
5100000,-109.841963715,-110.053909302
5150000,-109.766986633,-109.901451111
5200000,-109.688273392,-109.851196289
5250000,-109.650481583,-109.834197998
5300000,-109.605820694,-109.757614136
5350000,-109.506178268,-109.786514282
5400000,-109.489109497,-109.641151428
5450000,-109.427955002,-109.5963974
5500000,-109.359307007,-109.54108429
5550000,-109.321943909,-109.536376953
5600000,-109.24194989,-109.476623535
5650000,-109.233042694,-109.335823059
5700000,-109.151292145,-109.312416077
5750000,-109.105857254,-109.344284058
5800000,-109.02092926,-109.24559021
5850000,-108.985922791,-109.274360657
5900000,-108.992342575,-109.097221375
5950000,-108.892403366,-109.020362854
6000000,-108.85765773,-109.01159668
6050000,-108.794377792,-109.017036438
6100000,-108.76610141,-108.893699646
6150000,-108.737812073,-109.026023865
6200000,-108.703886642,-108.876052856
6250000,-108.646885498,-108.878578186
6300000,-108.576886566,-108.880851746
6350000,-108.546729691,-108.782447815
6400000,-108.498393051,-108.819023132
6450000,-108.488363113,-108.709571838
6500000,-108.40388974,-108.694198608
6550000,-108.373231552,-108.656997681
6600000,-108.335428574,-108.579551697
6650000,-108.257534363,-108.583099365
6700000,-108.281258301,-108.523986816
6750000,-108.211032944,-108.46559906
6800000,-108.185417328,-108.4741745
6850000,-108.172270386,-108.455596924
6900000,-108.086549225,-108.314491272
6950000,-108.097126419,-108.377861023
7000000,-108.029834305,-108.331848145
7050000,-108.005140045,-108.297622681
7100000,-107.957024536,-108.208122253
7150000,-107.929660828,-108.24030304
7200000,-107.868635132,-108.134765625
7250000,-107.836871262,-108.139350891
7300000,-107.810332916,-108.148551941
7350000,-107.778727249,-108.070213318
7400000,-107.773857254,-108.078315735
7450000,-107.708149307,-107.918525696
7500000,-107.668662689,-107.853378296
7550000,-107.653956055,-107.942703247
7600000,-107.603353439,-107.9116745
7650000,-107.598844543,-107.944946289
7700000,-107.521909424,-107.870239258
7750000,-107.534791412,-107.858703613
7800000,-107.479475815,-107.810890198
7850000,-107.462436127,-107.766075134
7900000,-107.431878937,-107.772109985
7950000,-107.398803619,-107.634597778
8000000,-107.387530655,-107.731384277
8050000,-107.372558685,-107.832077026
8100000,-107.333347534,-107.669197083
8150000,-107.28453093,-107.559440613
8200000,-107.246771957,-107.492324829
8250000,-107.24480896,-107.63230896
8300000,-107.166784958,-107.487121582
8350000,-107.099241699,-107.464546204
8400000,-107.136082214,-107.463600159
8450000,-107.115828125,-107.476646423
8500000,-107.037489517,-107.401222229
8550000,-107.021117187,-107.356925964
8600000,-106.990704987,-107.360298157
8650000,-107.01498436,-107.389785767
8700000,-106.974780014,-107.262672424
8750000,-106.945261627,-107.346374512
8800000,-106.890472504,-107.29132843
8850000,-106.863887802,-107.252128601
8900000,-106.832946762,-107.117362976
8950000,-106.828128281,-107.256248474
9000000,-106.779009186,-107.11492157
9050000,-106.784900909,-107.132591248
9100000,-106.771952805,-107.023277283
9150000,-106.743546738,-107.088722229
9200000,-106.687601715,-107.18347168
9250000,-106.633552536,-107.065177917
9300000,-106.670991257,-106.944648743
9350000,-106.623065857,-107.011962891
9400000,-106.589779877,-106.938873291
9450000,-106.609231094,-106.921409607
9500000,-106.553778442,-106.948822021
9550000,-106.495080109,-106.827125549
9600000,-106.526954056,-106.858551025
9650000,-106.480127762,-107.004051208
9700000,-106.448334854,-106.920974731
9750000,-106.431837753,-106.873649597
9800000,-106.416474579,-106.738128662
9850000,-106.369487198,-106.763076782
9900000,-106.371960632,-106.687553406
9950000,-106.35119812,-106.729499817
10000000,-106.340618942,-106.74105072
10050000,-106.288354691,-106.70111084
10100000,-106.265277313,-106.596549988
10150000,-106.241277512,-106.653915405
10200000,-106.234233765,-106.719673157
10250000,-106.182572327,-106.655410767
10300000,-106.206479492,-106.601097107
10350000,-106.167595413,-106.549301147
10400000,-106.145353073,-106.565574646
10450000,-106.101124756,-106.51966095
10500000,-106.115762268,-106.453025818
10550000,-106.062701752,-106.486549377
10600000,-106.059796265,-106.436149597
10650000,-106.03161618,-106.443626404
10700000,-106.006229019,-106.434783936
10750000,-106.032105789,-106.476501465
10800000,-105.991311462,-106.389274597
10850000,-105.952908432,-106.370452881
10900000,-105.946691238,-106.468734741
10950000,-105.933155045,-106.406349182
11000000,-105.917832275,-106.285896301
11050000,-105.868116241,-106.350021362
11100000,-105.858935623,-106.266860962
11150000,-105.849356613,-106.301574707
11200000,-105.833274307,-106.247573853
11250000,-105.807605103,-106.192077637
11300000,-105.767896942,-106.192848206
11350000,-105.76760968,-106.219177246
11400000,-105.750240891,-106.221427917
11450000,-105.793447906,-106.165351868
11500000,-105.734016983,-106.130111694
11550000,-105.702679489,-106.181549072
11600000,-105.721005035,-106.021896362
11650000,-105.678489212,-106.099784851
11700000,-105.678089905,-106.063972473
11750000,-105.595699158,-106.084709167
11800000,-105.609314194,-106.043991089
11850000,-105.626239304,-106.090484619
11900000,-105.591624878,-106.057975769
11950000,-105.551626663,-106.067802429
12000000,-105.5549935,-106.072563171
12050000,-105.533346481,-105.954246521
12100000,-105.500612625,-106.012672424
12150000,-105.529723755,-105.931625366
12200000,-105.492056046,-105.984352112
12250000,-105.465116852,-105.961212158
12300000,-105.476811707,-105.905273438
12350000,-105.410103027,-105.948074341
12400000,-105.381575287,-105.848701477
12450000,-105.37748465,-105.908210754
12500000,-105.362573074,-105.90422821
12550000,-105.395762726,-105.955635071
12600000,-105.324277039,-105.808296204
12650000,-105.34368457,-105.773773193
12700000,-105.295741409,-105.772148132
12750000,-105.310333405,-105.790802002
12800000,-105.280367783,-105.757301331
12850000,-105.273751526,-105.70287323
12900000,-105.262922363,-105.826583862
12950000,-105.248967834,-105.787002563
13000000,-105.203444855,-105.740753174
13050000,-105.186087021,-105.721000671
13100000,-105.205091797,-105.700897217
13150000,-105.227237671,-105.622047424
13200000,-105.177801025,-105.614372253
13250000,-105.152322159,-105.628578186
13300000,-105.155994705,-105.611221313
13350000,-105.093767151,-105.636077881
13400000,-105.111668488,-105.616897583
13450000,-105.085889603,-105.589797974
13500000,-105.098474167,-105.571327209
13550000,-105.030949478,-105.528312683
13600000,-105.069606689,-105.50769043
13650000,-105.031526947,-105.524650574
13700000,-105.00786055,-105.533721924
13750000,-105.016864594,-105.525047302
13800000,-104.979590759,-105.563972473
13850000,-104.996023209,-105.43522644
13900000,-104.968903244,-105.498374939
13950000,-104.973159286,-105.535011292
14000000,-104.953454056,-105.430213928
14050000,-104.904948364,-105.382873535
14100000,-104.926151016,-105.35597229
14150000,-104.910374588,-105.4164505
14200000,-104.897139023,-105.342376709
14250000,-104.871848404,-105.45716095
14300000,-104.894789551,-105.382324219
14350000,-104.839432785,-105.366622925
14400000,-104.857362152,-105.380851746
14450000,-104.816931427,-105.386627197
14500000,-104.825784821,-105.35030365
14550000,-104.779002914,-105.324752808
14600000,-104.806283691,-105.381622314
14650000,-104.829998444,-105.308509827
14700000,-104.797545044,-105.23235321
14750000,-104.756791443,-105.310997009
14800000,-104.738052628,-105.305038452
14850000,-104.728569794,-105.254447937
14900000,-104.715043381,-105.189689636
14950000,-104.697285446,-105.202362061
15000000,-104.708997086,-105.237487793
15050000,-104.669951782,-105.216171265
15100000,-104.656107178,-105.1980896
15150000,-104.655340607,-105.188827515
15200000,-104.61902626,-105.279602051
15250000,-104.628102432,-105.09980011
15300000,-104.591843643,-105.16204071
15350000,-104.590932709,-105.176185608
15400000,-104.599136703,-105.120048523
15450000,-104.592385315,-105.148902893
15500000,-104.573059128,-105.023963928
15550000,-104.58505423,-105.099899292
15600000,-104.559498703,-105.098152161
15650000,-104.519987305,-105.082473755
15700000,-104.542553024,-104.978302002
