num_samples,L
50000,-192.092185455
100000,-179.006962128
150000,-174.549866211
200000,-172.123911407
250000,-170.586645477
300000,-169.663539154
350000,-169.125330933
400000,-168.925840637
450000,-168.684350006
500000,-168.544371338
550000,-168.419786499
600000,-168.29917337
650000,-168.196005981
700000,-168.040028015
750000,-167.868934967
800000,-167.670271118
850000,-167.405521729
900000,-167.102614136
950000,-166.748548035
1000000,-166.368938263
1050000,-165.960907227
1100000,-165.580318604
1150000,-165.175764496
1200000,-164.811370148
1250000,-164.428323914
1300000,-164.05934671
1350000,-163.708510803
1400000,-163.344617584
1450000,-162.973394196
1500000,-162.624190948
1550000,-162.235749146
1600000,-161.875967163
1650000,-161.497294678
1700000,-161.120766235
1750000,-160.760113281
1800000,-160.378089264
1850000,-160.009178162
1900000,-159.647609985
1950000,-159.261238495
2000000,-158.891209534
2050000,-158.518810669
2100000,-158.169398407
2150000,-157.817962372
2200000,-157.473308716
2250000,-157.141193817
2300000,-156.790343719
2350000,-156.464564209
2400000,-156.152585693
2450000,-155.83317215
2500000,-155.540615082
2550000,-155.245787292
2600000,-154.947841949
2650000,-154.672677917
2700000,-154.404152954
2750000,-154.146707397
2800000,-153.873240814
2850000,-153.637927979
2900000,-153.384523407
2950000,-153.16331076
3000000,-152.933017944
3050000,-152.722534576
3100000,-152.494307037
3150000,-152.298177521
3200000,-152.103149017
3250000,-151.916108734
3300000,-151.709922058
3350000,-151.535978668
3400000,-151.35513623
3450000,-151.187557678
3500000,-151.009487885
3550000,-150.851950928
3600000,-150.704775726
3650000,-150.535360718
3700000,-150.391100006
3750000,-150.250094452
3800000,-150.109786713
3850000,-149.989022186
3900000,-149.84959314
3950000,-149.70365799
4000000,-149.593581451
4050000,-149.459692993
4100000,-149.34736676
4150000,-149.23348645
4200000,-149.111281677
4250000,-149.004954224
4300000,-148.895421143
4350000,-148.783726257
4400000,-148.671978729
4450000,-148.577796021
4500000,-148.475247528
4550000,-148.380287231
4600000,-148.308947388
4650000,-148.218705383
4700000,-148.113098511
4750000,-148.025654999
4800000,-147.928491028
4850000,-147.849352539
4900000,-147.765165314
4950000,-147.694720825
5000000,-147.605259583
5050000,-147.518115051
5100000,-147.461096832
5150000,-147.366241364
5200000,-147.290829773
