num_samples,L,Lvalid
50000,-199.740337571,-182.431949693
100000,-181.749409153,-178.237677832
150000,-176.729536823,-173.45157059
200000,-173.15148826,-172.021874984
250000,-171.817038076,-170.614774222
300000,-171.050862219,-169.972031001
350000,-170.491492828,-169.318965461
400000,-169.950705866,-169.381295912
450000,-169.355277996,-168.215371298
500000,-168.707554675,-167.561747943
550000,-167.966184038,-166.919435077
600000,-167.151965931,-165.989700424
650000,-166.343254616,-165.205380452
700000,-165.539967535,-164.372951997
750000,-164.813331226,-163.721673674
800000,-164.143940144,-163.008015492
850000,-163.538863987,-162.431226858
900000,-162.983233862,-161.911188959
950000,-162.479939555,-161.495464814
1000000,-162.001090782,-160.978193115
1050000,-161.541825385,-160.64862314
1100000,-161.128466802,-160.222600986
1150000,-160.716627247,-159.729948185
1200000,-160.347435057,-159.480547037
1250000,-159.948041176,-159.053000735
1300000,-159.587788277,-158.723537827
1350000,-159.235884224,-158.212189464
1400000,-158.878876659,-157.82922155
1450000,-158.523232312,-157.577518028
1500000,-158.180428101,-157.167571194
1550000,-157.839539298,-156.896309882
1600000,-157.519602973,-156.429556178
1650000,-157.181681671,-156.146117103
1700000,-156.870640692,-155.721541352
1750000,-156.573170127,-155.602601013
1800000,-156.285199349,-155.21860074
1850000,-155.991073676,-154.931230241
1900000,-155.734438178,-154.612879738
1950000,-155.47118168,-154.323058282
2000000,-155.21850818,-154.208835869
2050000,-154.982854512,-153.902719783
2100000,-154.740681536,-153.577723134
2150000,-154.524492594,-153.266399616
2200000,-154.309645649,-153.117402922
2250000,-154.111305946,-152.942196842
2300000,-153.901758037,-152.86515008
2350000,-153.723790429,-152.571293041
2400000,-153.533846111,-152.437226167
2450000,-153.371779036,-152.23733363
2500000,-153.179206959,-152.061254274
2550000,-153.013789803,-151.81510951
2600000,-152.859549453,-151.719284569
2650000,-152.699553403,-151.646702673
2700000,-152.556440239,-151.359324185
2750000,-152.400110184,-151.258783877
2800000,-152.254724235,-151.126100477
2850000,-152.107839239,-150.904283696
2900000,-151.984770687,-150.788238591
2950000,-151.857567293,-150.746477291
3000000,-151.691451562,-150.490326299
3050000,-151.580045203,-150.448398822
3100000,-151.455095481,-150.309254462
3150000,-151.325760854,-150.109596647
3200000,-151.21452753,-150.103610699
3250000,-151.109614207,-149.959008047
3300000,-150.989400598,-149.849598931
3350000,-150.873158409,-149.73258999
3400000,-150.75279352,-149.619819011
3450000,-150.657196824,-149.647611052
3500000,-150.556789955,-149.402837013
3550000,-150.453637178,-149.311012528
3600000,-150.360914977,-149.351657406
3650000,-150.263643872,-149.203288883
3700000,-150.176359675,-149.098083125
3750000,-150.076330599,-149.055976078
3800000,-149.999925522,-148.847959848
3850000,-149.892244853,-148.870034271
3900000,-149.825714396,-148.795309596
3950000,-149.737192805,-148.537666212
4000000,-149.655374171,-148.533816741
4050000,-149.563836007,-148.406940018
4100000,-149.487786121,-148.614286253
4150000,-149.419591744,-148.275274363
4200000,-149.353213138,-148.200268223
4250000,-149.272245733,-148.126819439
4300000,-149.197280334,-148.097921014
4350000,-149.142566114,-148.15126499
4400000,-149.063803557,-147.909274852
4450000,-148.996684727,-147.925431483
4500000,-148.925418623,-147.815387589
4550000,-148.872950145,-147.886568622
4600000,-148.809991847,-147.75695756
4650000,-148.753903507,-147.654894708
4700000,-148.70325503,-147.560855822
4750000,-148.63001109,-147.496029651
4800000,-148.573099557,-147.518123961
4850000,-148.516923374,-147.52371937
4900000,-148.448372478,-147.353686083
4950000,-148.38799006,-147.250213909
5000000,-148.353872268,-147.232666454
5050000,-148.290596444,-147.323651196
5100000,-148.235706896,-147.154338432
5150000,-148.184405602,-147.116526617
5200000,-148.145582521,-147.047014476
5250000,-148.086271265,-147.013037915
5300000,-148.041336249,-147.003998405
5350000,-147.992799776,-146.946136932
5400000,-147.966273402,-146.86052221
5450000,-147.906073465,-146.763570099
5500000,-147.857253776,-146.892210441
5550000,-147.802688374,-146.701249479
5600000,-147.778490001,-146.641802726
5650000,-147.711057333,-146.679379602
5700000,-147.691985142,-146.60323257
5750000,-147.638374823,-146.605168571
5800000,-147.605730219,-146.604428533
5850000,-147.571046357,-146.47420768
5900000,-147.532156787,-146.446161922
5950000,-147.478777767,-146.50366412
6000000,-147.439455829,-146.34106045
6050000,-147.407679868,-146.267231979
6100000,-147.358624169,-146.546235682
6150000,-147.321369798,-146.301995069
6200000,-147.281269978,-146.263462237
6250000,-147.264781183,-146.208024771
6300000,-147.207425251,-146.170228989
6350000,-147.189669242,-146.127517368
6400000,-147.143940236,-146.067317542
6450000,-147.127088523,-146.04973885
6500000,-147.082403009,-146.101564329
6550000,-147.042688655,-146.082037082
6600000,-146.991430767,-146.011093429
6650000,-146.975482592,-145.931091916
6700000,-146.932245678,-145.849343136
6750000,-146.903711867,-145.866400923
6800000,-146.865935182,-145.768682457
6850000,-146.834159036,-145.754800189
6900000,-146.810822465,-145.688057194
6950000,-146.804912842,-145.734166993
7000000,-146.74451212,-145.677778243
7050000,-146.72815311,-145.661622831
7100000,-146.691914888,-145.606613901
7150000,-146.661724748,-145.66633653
7200000,-146.638067788,-145.695814369
7250000,-146.596505766,-145.573454766
7300000,-146.577481012,-145.563429249
7350000,-146.538298137,-145.576250491
7400000,-146.53676554,-145.47439559
7450000,-146.482460857,-145.52635989
7500000,-146.45889611,-145.385717126
7550000,-146.427405407,-145.389039921
7600000,-146.411384599,-145.3869564
7650000,-146.366520646,-145.37418
7700000,-146.35272582,-145.378220868
7750000,-146.344423146,-145.318156313
7800000,-146.304507057,-145.218811195
7850000,-146.281257579,-145.215549435
7900000,-146.255049469,-145.254077442
7950000,-146.23213245,-145.185387857
8000000,-146.209238865,-145.217229469
8050000,-146.182267878,-145.201934029
8100000,-146.147933546,-145.078388278
8150000,-146.13342723,-145.073663164
8200000,-146.105928382,-145.094445143
8250000,-146.089324382,-144.988716322
8300000,-146.061220989,-145.045036417
8350000,-146.037412912,-145.080626377
8400000,-146.011697189,-144.923829457
8450000,-145.990974939,-145.070825644
8500000,-145.963994519,-144.951651877
8550000,-145.9519775,-144.897429953
8600000,-145.908428566,-144.962797076
8650000,-145.904497165,-144.85935142
8700000,-145.880148776,-144.885183129
8750000,-145.841897429,-144.902058279
8800000,-145.856129618,-144.809751584
8850000,-145.816687918,-144.837094381
8900000,-145.789189019,-144.792305613
8950000,-145.781070866,-144.787596977
9000000,-145.757122584,-144.722823147
9050000,-145.733020381,-144.692642143
9100000,-145.696512563,-144.762603038
9150000,-145.697600751,-144.614882189
9200000,-145.669765998,-144.642974007
9250000,-145.656937605,-144.636015136
9300000,-145.641631813,-144.598914141
9350000,-145.601366208,-144.625810448
9400000,-145.586830422,-144.564395448
9450000,-145.569898101,-144.598209684
9500000,-145.546066892,-144.558844941
9550000,-145.532647082,-144.533471495
9600000,-145.512652028,-144.500045399
9650000,-145.494172471,-144.565998601
9700000,-145.491271195,-144.420542094
9750000,-145.458923638,-144.448785724
9800000,-145.445231708,-144.486318232
9850000,-145.427368122,-144.436234079
9900000,-145.397498204,-144.497945757
9950000,-145.387084582,-144.416750787
10000000,-145.369807799,-144.356385091
10050000,-145.329270685,-144.354996883
